task	description	conds	weights
VOE	movies-gt-fixation	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp fixation physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0.0833 0.0833 0.0833 0.0833 0.0833 0.0833 0.0833 0.0833 0.0833 0.0833 0.0833 0.0833 -1
DOTS	soc-gt-phys	physics_correct physics_incorrect social_correct social_incorrect	-1 -1 1 1
DOTS	phys-gt-soc	physics_correct physics_incorrect social_correct social_incorrect	1 1 -1 -1
DOTS	Incorrectloc-gt-correctloc	physics_correct physics_incorrect social_correct social_incorrect	-1 1 -1 1
DOTS	movies-gt-rest	physics_correct physics_incorrect social_correct social_incorrect rest	0.25 0.25 0.25 0.25 -1
VOEfam	fam1-gt-allelse	fam1 other fixation	1 -1 0
VOEseparated	psychology_efficiency_fam	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	1 0 0 0 0 0 0 0 0 0 0 0
VOEseparated	psychology_efficiency_unexp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 1 0 0 0 0 0 0 0 0 0 0
VOEseparated	psychology_efficiency_exp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 1 0 0 0 0 0 0 0 0 0
VOEseparated	psychology_goals_fam	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 1 0 0 0 0 0 0 0 0
VOEseparated	psychology_goals_unexp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 1 0 0 0 0 0 0 0
VOEseparated	psychology_goals_exp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 0 1 0 0 0 0 0 0
VOEseparated	physics_support_fam	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 0 0 1 0 0 0 0 0
VOEseparated	physics_support_unexp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 0 0 0 1 0 0 0 0
VOEseparated	physics_support_exp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 0 0 0 0 1 0 0 0
VOEseparated	physics_solidity_fam	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 0 0 0 0 0 1 0 0
VOEseparated	physics_solidity_unexp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 0 0 0 0 0 0 1 0
VOEseparated	physics_solidity_exp	psychology_efficiency_fam psychology_efficiency_unexp psychology_efficiency_exp psychology_goals_fam psychology_goals_unexp psychology_goals_exp physics_support_fam physics_support_unexp physics_support_exp physics_solidity_fam physics_solidity_unexp physics_solidity_exp	0 0 0 0 0 0 0 0 0 0 0 1
